"","dive_table_id","anem_table_id","obs_time","date","site","gps","time.x","year","month","day","hour","min","sec","lat","lon","elev","time.y"
"1",61,1678,"16:44:20","2013-06-04","Magbangon South, Tinag-an",1,2013-06-04 08:44:20,2013,6,4,8,44,20,"10.861259","124.721542",0,2013-06-04 08:44:20
"2",61,1677,"16:44:20","2013-06-04","Magbangon South, Tinag-an",1,2013-06-04 08:44:20,2013,6,4,8,44,20,"10.861259","124.721542",0,2013-06-04 08:44:20
"3",61,1676,"16:44:20","2013-06-04","Magbangon South, Tinag-an",1,2013-06-04 08:44:20,2013,6,4,8,44,20,"10.861259","124.721542",0,2013-06-04 08:44:20
"4",61,1674,"16:44:20","2013-06-04","Magbangon South, Tinag-an",1,2013-06-04 08:44:20,2013,6,4,8,44,20,"10.861259","124.721542",0,2013-06-04 08:44:20
"5",61,1672,"16:44:20","2013-06-04","Magbangon South, Tinag-an",1,2013-06-04 08:44:20,2013,6,4,8,44,20,"10.861259","124.721542",0,2013-06-04 08:44:20
"6",61,1670,"16:44:20","2013-06-04","Magbangon South, Tinag-an",1,2013-06-04 08:44:20,2013,6,4,8,44,20,"10.861259","124.721542",0,2013-06-04 08:44:20
"7",61,1668,"16:44:20","2013-06-04","Magbangon South, Tinag-an",1,2013-06-04 08:44:20,2013,6,4,8,44,20,"10.861259","124.721542",0,2013-06-04 08:44:20
"8",61,1666,"16:44:20","2013-06-04","Magbangon South, Tinag-an",1,2013-06-04 08:44:20,2013,6,4,8,44,20,"10.861259","124.721542",0,2013-06-04 08:44:20
"9",61,1664,"16:44:20","2013-06-04","Magbangon South, Tinag-an",1,2013-06-04 08:44:20,2013,6,4,8,44,20,"10.861259","124.721542",0,2013-06-04 08:44:20
"10",58,1506,"15:32:20","2013-06-03","Sitio Baybayon, Punta",1,2013-06-03 07:32:20,2013,6,3,7,32,20,"10.634149","124.776717",0,2013-06-03 07:32:20
"11",55,1452,"14:30:12","2013-06-02","Sitio Hicgop, Caridad",1,2013-06-02 06:30:12,2013,6,2,6,30,12,"10.818038","124.761364",0,2013-06-02 06:30:12
"12",52,1440,"17:13:30","2013-06-01","Visca",1,2013-06-01 09:13:30,2013,6,1,9,13,30,"10.743787","124.786729",0,2013-06-01 09:13:30
"13",52,1436,"16:36:15","2013-06-01","Visca",1,2013-06-01 08:36:15,2013,6,1,8,36,15,"10.742955","124.787122",0,2013-06-01 08:36:15
"14",52,1432,"16:15:45","2013-06-01","Visca",1,2013-06-01 08:15:45,2013,6,1,8,15,45,"10.743742","124.786381",0,2013-06-01 08:15:45
"15",48,1370,"09:29:55","2013-05-31","Palanas North, Damulaan",1,2013-05-31 01:29:55,2013,5,31,1,29,55,"10.873798","124.710613",0,2013-05-31 01:29:55
"16",48,1364,"09:05:40","2013-05-31","Palanas North, Damulaan",1,2013-05-31 01:05:40,2013,5,31,1,5,40,"10.873909","124.710481",0,2013-05-31 01:05:40
"17",42,1210,"09:57:12","2013-05-29","Cabatoan, Tinag-an",1,2013-05-29 01:57:12,2013,5,29,1,57,12,"10.855449","124.726919",0,2013-05-29 01:57:12
"18",42,1202,"09:40:27","2013-05-29","Cabatoan, Tinag-an",1,2013-05-29 01:40:27,2013,5,29,1,40,27,"10.855166","124.726883",0,2013-05-29 01:40:27
"19",40,997,"12:02:23","2013-05-28","Wangag North, Damulaan",1,2013-05-28 04:02:23,2013,5,28,4,2,23,"10.871594","124.713913",0,2013-05-28 04:02:23
"20",40,958,"11:28:53","2013-05-28","Wangag North, Damulaan",1,2013-05-28 03:28:53,2013,5,28,3,28,53,"10.871861","124.713779",0,2013-05-28 03:28:53
"21",40,957,"11:28:53","2013-05-28","Wangag North, Damulaan",1,2013-05-28 03:28:53,2013,5,28,3,28,53,"10.871861","124.713779",0,2013-05-28 03:28:53
"22",40,956,"11:28:53","2013-05-28","Wangag North, Damulaan",1,2013-05-28 03:28:53,2013,5,28,3,28,53,"10.871861","124.713779",0,2013-05-28 03:28:53
"23",61,1675,"16:44:20","2013-06-04","Magbangon South, Tinag-an",1,2013-06-04 08:44:20,2013,6,4,8,44,20,"10.861259","124.721542",0,2013-06-04 08:44:20
"24",61,1673,"16:44:20","2013-06-04","Magbangon South, Tinag-an",1,2013-06-04 08:44:20,2013,6,4,8,44,20,"10.861259","124.721542",0,2013-06-04 08:44:20
"25",61,1671,"16:44:20","2013-06-04","Magbangon South, Tinag-an",1,2013-06-04 08:44:20,2013,6,4,8,44,20,"10.861259","124.721542",0,2013-06-04 08:44:20
"26",61,1669,"16:44:20","2013-06-04","Magbangon South, Tinag-an",1,2013-06-04 08:44:20,2013,6,4,8,44,20,"10.861259","124.721542",0,2013-06-04 08:44:20
"27",61,1667,"16:44:20","2013-06-04","Magbangon South, Tinag-an",1,2013-06-04 08:44:20,2013,6,4,8,44,20,"10.861259","124.721542",0,2013-06-04 08:44:20
"28",61,1665,"16:44:20","2013-06-04","Magbangon South, Tinag-an",1,2013-06-04 08:44:20,2013,6,4,8,44,20,"10.861259","124.721542",0,2013-06-04 08:44:20
"29",59,1523,"11:10:18","2013-06-04","Wangag South, Damulaan",1,2013-06-04 03:10:18,2013,6,4,3,10,18,"10.870070","124.715329",0,2013-06-04 03:10:18
"30",55,1465,"16:01:27","2013-06-02","Sitio Hicgop, Caridad",1,2013-06-02 08:01:27,2013,6,2,8,1,27,"10.811950","124.764371",0,2013-06-02 08:01:27
"31",52,1441,"17:18:00","2013-06-01","Visca",1,2013-06-01 09:18:00,2013,6,1,9,18,0,"10.744270","124.786506",0,2013-06-01 09:18:00
"32",52,1439,"17:07:00","2013-06-01","Visca",1,2013-06-01 09:07:00,2013,6,1,9,7,0,"10.743551","124.786856",0,2013-06-01 09:07:00
"33",52,1437,"16:58:00","2013-06-01","Visca",1,2013-06-01 08:58:00,2013,6,1,8,58,0,"10.743428","124.786937",0,2013-06-01 08:58:00
"34",52,1433,"16:19:30","2013-06-01","Visca",1,2013-06-01 08:19:30,2013,6,1,8,19,30,"10.743667","124.786493",0,2013-06-01 08:19:30
"35",52,1431,"16:06:00","2013-06-01","Visca",1,2013-06-01 08:06:00,2013,6,1,8,6,0,"10.743743","124.786429",0,2013-06-01 08:06:00
"36",48,1365,"09:06:10","2013-05-31","Palanas North, Damulaan",1,2013-05-31 01:06:10,2013,5,31,1,6,10,"10.873899","124.710497",0,2013-05-31 01:06:10
"37",48,1355,"08:44:10","2013-05-31","Palanas North, Damulaan",1,2013-05-31 00:44:10,2013,5,31,0,44,10,"10.874161","124.710455",0,2013-05-31 00:44:10
"38",105,2616,"11:54:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 03:54:00,2014,7,1,3,54,0,"10.753421","124.784477",0,2014-07-01 03:54:00
"39",105,2614,"11:38:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 03:38:00,2014,7,1,3,38,0,"10.755036","124.785063",0,2014-07-01 03:38:00
"40",105,2612,"11:26:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 03:26:00,2014,7,1,3,26,0,"10.755449","124.785306",0,2014-07-01 03:26:00
"41",105,2610,"11:19:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 03:19:00,2014,7,1,3,19,0,"10.755818","124.785530",0,2014-07-01 03:19:00
"42",105,2608,"11:15:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 03:15:00,2014,7,1,3,15,0,"10.755992","124.785637",0,2014-07-01 03:15:00
"43",105,2606,"11:08:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 03:08:00,2014,7,1,3,8,0,"10.756590","124.785956",0,2014-07-01 03:08:00
"44",105,2604,"11:05:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 03:05:00,2014,7,1,3,5,0,"10.756465","124.785797",0,2014-07-01 03:05:00
"45",105,2602,"11:03:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 03:03:00,2014,7,1,3,3,0,"10.756444","124.785788",0,2014-07-01 03:03:00
"46",105,2600,"10:52:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 02:52:00,2014,7,1,2,52,0,"10.756101","124.785581",0,2014-07-01 02:52:00
"47",105,2617,"11:59:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 03:59:00,2014,7,1,3,59,0,"10.753171","124.784376",0,2014-07-01 03:59:00
"48",105,2615,"11:39:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 03:39:00,2014,7,1,3,39,0,"10.755048","124.785054",0,2014-07-01 03:39:00
"49",105,2613,"11:32:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 03:32:00,2014,7,1,3,32,0,"10.755112","124.785087",0,2014-07-01 03:32:00
"50",105,2611,"11:24:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 03:24:00,2014,7,1,3,24,0,"10.755623","124.785370",0,2014-07-01 03:24:00
"51",105,2609,"11:17:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 03:17:00,2014,7,1,3,17,0,"10.755939","124.785609",0,2014-07-01 03:17:00
"52",105,2607,"11:10:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 03:10:00,2014,7,1,3,10,0,"10.756561","124.785941",0,2014-07-01 03:10:00
"53",105,2605,"11:07:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 03:07:00,2014,7,1,3,7,0,"10.756593","124.785942",0,2014-07-01 03:07:00
"54",105,2603,"11:04:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 03:04:00,2014,7,1,3,4,0,"10.756461","124.785790",0,2014-07-01 03:04:00
"55",105,2601,"10:54:00","2014-07-01","Poroc Rose, Marcos",1,2014-07-01 02:54:00,2014,7,1,2,54,0,"10.756173","124.785643",0,2014-07-01 02:54:00
"56",244,6195,"09:54:07","2015-02-02","Haina",5,2015-02-02 01:54:07,2015,2,2,1,54,7,"10.6415765081","124.7779631428",0,2015-02-02 01:54:07
"57",242,6028,"11:56:12","2015-02-01","Magbangon",5,2015-02-01 03:56:12,2015,2,1,3,56,12,"10.8609854802","124.7217893042",0,2015-02-01 03:56:12
"58",242,6027,"11:56:12","2015-02-01","Magbangon",5,2015-02-01 03:56:12,2015,2,1,3,56,12,"10.8609854802","124.7217893042",0,2015-02-01 03:56:12
"59",242,6026,"11:56:12","2015-02-01","Magbangon",5,2015-02-01 03:56:12,2015,2,1,3,56,12,"10.8609854802","124.7217893042",0,2015-02-01 03:56:12
"60",242,6025,"11:56:12","2015-02-01","Magbangon",5,2015-02-01 03:56:12,2015,2,1,3,56,12,"10.8609854802","124.7217893042",0,2015-02-01 03:56:12
"61",242,6024,"11:56:12","2015-02-01","Magbangon",5,2015-02-01 03:56:12,2015,2,1,3,56,12,"10.8609854802","124.7217893042",0,2015-02-01 03:56:12
"62",242,6023,"11:56:12","2015-02-01","Magbangon",5,2015-02-01 03:56:12,2015,2,1,3,56,12,"10.8609854802","124.7217893042",0,2015-02-01 03:56:12
"63",242,6022,"11:56:12","2015-02-01","Magbangon",5,2015-02-01 03:56:12,2015,2,1,3,56,12,"10.8609854802","124.7217893042",0,2015-02-01 03:56:12
"64",242,6021,"11:56:12","2015-02-01","Magbangon",5,2015-02-01 03:56:12,2015,2,1,3,56,12,"10.8609854802","124.7217893042",0,2015-02-01 03:56:12
"65",242,6020,"11:56:12","2015-02-01","Magbangon",5,2015-02-01 03:56:12,2015,2,1,3,56,12,"10.8609854802","124.7217893042",0,2015-02-01 03:56:12
"66",242,6019,"11:56:12","2015-02-01","Magbangon",5,2015-02-01 03:56:12,2015,2,1,3,56,12,"10.8609854802","124.7217893042",0,2015-02-01 03:56:12
"67",242,6018,"11:56:12","2015-02-01","Magbangon",5,2015-02-01 03:56:12,2015,2,1,3,56,12,"10.8609854802","124.7217893042",0,2015-02-01 03:56:12
"68",242,6017,"11:56:12","2015-02-01","Magbangon",5,2015-02-01 03:56:12,2015,2,1,3,56,12,"10.8609854802","124.7217893042",0,2015-02-01 03:56:12
"69",242,6016,"11:56:12","2015-02-01","Magbangon",5,2015-02-01 03:56:12,2015,2,1,3,56,12,"10.8609854802","124.7217893042",0,2015-02-01 03:56:12
"70",242,6015,"11:56:12","2015-02-01","Magbangon",5,2015-02-01 03:56:12,2015,2,1,3,56,12,"10.8609854802","124.7217893042",0,2015-02-01 03:56:12
"71",242,6014,"11:56:12","2015-02-01","Magbangon",5,2015-02-01 03:56:12,2015,2,1,3,56,12,"10.8609854802","124.7217893042",0,2015-02-01 03:56:12
"72",242,6013,"11:56:12","2015-02-01","Magbangon",5,2015-02-01 03:56:12,2015,2,1,3,56,12,"10.8609854802","124.7217893042",0,2015-02-01 03:56:12
"73",241,5906,"11:24:50","2015-02-01","Magbangon",4,2015-02-01 03:24:50,2015,2,1,3,24,50,"10.8610999770","124.7217542678",0,2015-02-01 03:24:50
"74",241,5905,"11:24:50","2015-02-01","Magbangon",4,2015-02-01 03:24:50,2015,2,1,3,24,50,"10.8610999770","124.7217542678",0,2015-02-01 03:24:50
"75",241,5904,"11:24:50","2015-02-01","Magbangon",4,2015-02-01 03:24:50,2015,2,1,3,24,50,"10.8610999770","124.7217542678",0,2015-02-01 03:24:50
"76",241,5820,"11:01:35","2015-02-01","Magbangon",4,2015-02-01 03:01:35,2015,2,1,3,1,35,"10.8611698821","124.7216641624",0,2015-02-01 03:01:35
"77",241,5819,"11:01:35","2015-02-01","Magbangon",4,2015-02-01 03:01:35,2015,2,1,3,1,35,"10.8611698821","124.7216641624",0,2015-02-01 03:01:35
"78",241,5818,"11:01:35","2015-02-01","Magbangon",4,2015-02-01 03:01:35,2015,2,1,3,1,35,"10.8611698821","124.7216641624",0,2015-02-01 03:01:35
"79",241,5817,"11:01:35","2015-02-01","Magbangon",4,2015-02-01 03:01:35,2015,2,1,3,1,35,"10.8611698821","124.7216641624",0,2015-02-01 03:01:35
"80",241,5816,"11:01:35","2015-02-01","Magbangon",4,2015-02-01 03:01:35,2015,2,1,3,1,35,"10.8611698821","124.7216641624",0,2015-02-01 03:01:35
"81",241,5815,"11:01:35","2015-02-01","Magbangon",4,2015-02-01 03:01:35,2015,2,1,3,1,35,"10.8611698821","124.7216641624",0,2015-02-01 03:01:35
"82",241,5814,"11:01:35","2015-02-01","Magbangon",4,2015-02-01 03:01:35,2015,2,1,3,1,35,"10.8611698821","124.7216641624",0,2015-02-01 03:01:35
"83",241,5813,"11:01:35","2015-02-01","Magbangon",4,2015-02-01 03:01:35,2015,2,1,3,1,35,"10.8611698821","124.7216641624",0,2015-02-01 03:01:35
"84",241,5812,"11:01:35","2015-02-01","Magbangon",4,2015-02-01 03:01:35,2015,2,1,3,1,35,"10.8611698821","124.7216641624",0,2015-02-01 03:01:35
"85",241,5811,"11:01:35","2015-02-01","Magbangon",4,2015-02-01 03:01:35,2015,2,1,3,1,35,"10.8611698821","124.7216641624",0,2015-02-01 03:01:35
"86",241,5810,"11:01:35","2015-02-01","Magbangon",4,2015-02-01 03:01:35,2015,2,1,3,1,35,"10.8611698821","124.7216641624",0,2015-02-01 03:01:35
"87",241,5736,"10:39:06","2015-02-01","Magbangon",4,2015-02-01 02:39:06,2015,2,1,2,39,6,"10.8613318205","124.7216207441",0,2015-02-01 02:39:06
"88",241,5712,"10:31:06","2015-02-01","Magbangon",4,2015-02-01 02:31:06,2015,2,1,2,31,6,"10.8614488319","124.7215498332",0,2015-02-01 02:31:06
"89",241,5711,"10:31:06","2015-02-01","Magbangon",4,2015-02-01 02:31:06,2015,2,1,2,31,6,"10.8614488319","124.7215498332",0,2015-02-01 02:31:06
"90",241,5710,"10:31:06","2015-02-01","Magbangon",4,2015-02-01 02:31:06,2015,2,1,2,31,6,"10.8614488319","124.7215498332",0,2015-02-01 02:31:06
"91",238,5671,"09:01:34","2015-01-31","Visca ",5,2015-01-31 01:01:34,2015,1,31,1,1,34,"10.7434543502","124.7866216488",0,2015-01-31 01:01:34
"92",210,5656,"15:05:00","2015-01-22","Magbangon",3,2015-01-22 07:05:00,2015,1,22,7,5,0,"10.8612024039","124.7215134557",0,2015-01-22 07:05:00
"93",210,5634,"15:00:00","2015-01-22","Magbangon",3,2015-01-22 07:00:00,2015,1,22,7,0,0,"10.8612150606","124.7214961052",0,2015-01-22 07:00:00
"94",210,5633,"14:58:00","2015-01-22","Magbangon",3,2015-01-22 06:58:00,2015,1,22,6,58,0,"10.8612169046","124.7215235140",0,2015-01-22 06:58:00
"95",210,5632,"14:58:00","2015-01-22","Magbangon",3,2015-01-22 06:58:00,2015,1,22,6,58,0,"10.8612169046","124.7215235140",0,2015-01-22 06:58:00
"96",210,5631,"14:57:00","2015-01-22","Magbangon",3,2015-01-22 06:57:00,2015,1,22,6,57,0,"10.8612213470","124.7215217538",0,2015-01-22 06:57:00
"97",210,5630,"14:56:00","2015-01-22","Magbangon",3,2015-01-22 06:56:00,2015,1,22,6,56,0,"10.8612080198","124.7215551976",0,2015-01-22 06:56:00
"98",210,5607,"14:50:45","2015-01-22","Magbangon",3,2015-01-22 06:50:45,2015,1,22,6,50,45,"10.8612309024","124.7215669323",0,2015-01-22 06:50:45
"99",210,5606,"14:50:45","2015-01-22","Magbangon",3,2015-01-22 06:50:45,2015,1,22,6,50,45,"10.8612309024","124.7215669323",0,2015-01-22 06:50:45
"100",210,5597,"14:48:15","2015-01-22","Magbangon",3,2015-01-22 06:48:15,2015,1,22,6,48,15,"10.8612572215","124.7215403616",0,2015-01-22 06:48:15
"101",210,5574,"14:45:00","2015-01-22","Magbangon",3,2015-01-22 06:45:00,2015,1,22,6,45,0,"10.8612849656","124.7216039803",0,2015-01-22 06:45:00
"102",210,5567,"14:41:00","2015-01-22","Magbangon",3,2015-01-22 06:41:00,2015,1,22,6,41,0,"10.8612839598","124.7216258571",0,2015-01-22 06:41:00
"103",210,5566,"14:41:00","2015-01-22","Magbangon",3,2015-01-22 06:41:00,2015,1,22,6,41,0,"10.8612839598","124.7216258571",0,2015-01-22 06:41:00
"104",210,5565,"14:41:00","2015-01-22","Magbangon",3,2015-01-22 06:41:00,2015,1,22,6,41,0,"10.8612839598","124.7216258571",0,2015-01-22 06:41:00
"105",210,5546,"14:36:00","2015-01-22","Magbangon",3,2015-01-22 06:36:00,2015,1,22,6,36,0,"10.8612962812","124.7216624860",0,2015-01-22 06:36:00
"106",210,5512,"14:28:00","2015-01-22","Magbangon",3,2015-01-22 06:28:00,2015,1,22,6,28,0,"10.8612776734","124.7216805909",0,2015-01-22 06:28:00
"107",210,5508,"14:27:30","2015-01-22","Magbangon",3,2015-01-22 06:27:30,2015,1,22,6,27,30,"10.8612934314","124.7216597199",0,2015-01-22 06:27:30
"108",211,5505,"14:27:00","2015-01-22","Magbangon",4,2015-01-22 06:27:00,2015,1,22,6,27,0,"10.8613204211","124.7217033897",0,2015-01-22 06:27:00
"109",211,5504,"14:27:00","2015-01-22","Magbangon",4,2015-01-22 06:27:00,2015,1,22,6,27,0,"10.8613204211","124.7217033897",0,2015-01-22 06:27:00
"110",211,5503,"14:27:00","2015-01-22","Magbangon",4,2015-01-22 06:27:00,2015,1,22,6,27,0,"10.8613204211","124.7217033897",0,2015-01-22 06:27:00
"111",211,5502,"14:27:00","2015-01-22","Magbangon",4,2015-01-22 06:27:00,2015,1,22,6,27,0,"10.8613204211","124.7217033897",0,2015-01-22 06:27:00
"112",211,5501,"14:27:00","2015-01-22","Magbangon",4,2015-01-22 06:27:00,2015,1,22,6,27,0,"10.8613204211","124.7217033897",0,2015-01-22 06:27:00
"113",211,5500,"14:27:00","2015-01-22","Magbangon",4,2015-01-22 06:27:00,2015,1,22,6,27,0,"10.8613204211","124.7217033897",0,2015-01-22 06:27:00
"114",211,5499,"14:27:00","2015-01-22","Magbangon",4,2015-01-22 06:27:00,2015,1,22,6,27,0,"10.8613204211","124.7217033897",0,2015-01-22 06:27:00
"115",210,5498,"14:25:30","2015-01-22","Magbangon",3,2015-01-22 06:25:30,2015,1,22,6,25,30,"10.8613385260","124.7216317244",0,2015-01-22 06:25:30
"116",210,5497,"14:25:30","2015-01-22","Magbangon",3,2015-01-22 06:25:30,2015,1,22,6,25,30,"10.8613385260","124.7216317244",0,2015-01-22 06:25:30
"117",210,5496,"14:25:30","2015-01-22","Magbangon",3,2015-01-22 06:25:30,2015,1,22,6,25,30,"10.8613385260","124.7216317244",0,2015-01-22 06:25:30
"118",210,5495,"14:25:30","2015-01-22","Magbangon",3,2015-01-22 06:25:30,2015,1,22,6,25,30,"10.8613385260","124.7216317244",0,2015-01-22 06:25:30
"119",210,5494,"14:25:30","2015-01-22","Magbangon",3,2015-01-22 06:25:30,2015,1,22,6,25,30,"10.8613385260","124.7216317244",0,2015-01-22 06:25:30
"120",210,5445,"14:15:00","2015-01-22","Magbangon",3,2015-01-22 06:15:00,2015,1,22,6,15,0,"10.8614407852","124.7215229273",0,2015-01-22 06:15:00
"121",210,5444,"14:14:00","2015-01-22","Magbangon",3,2015-01-22 06:14:00,2015,1,22,6,14,0,"10.8614756539","124.7215329856",0,2015-01-22 06:14:00
"122",210,5422,"14:11:30","2015-01-22","Magbangon",3,2015-01-22 06:11:30,2015,1,22,6,11,30,"10.8614409529","124.7215214185",0,2015-01-22 06:11:30
"123",210,5421,"14:11:30","2015-01-22","Magbangon",3,2015-01-22 06:11:30,2015,1,22,6,11,30,"10.8614409529","124.7215214185",0,2015-01-22 06:11:30
"124",210,5420,"14:11:30","2015-01-22","Magbangon",3,2015-01-22 06:11:30,2015,1,22,6,11,30,"10.8614409529","124.7215214185",0,2015-01-22 06:11:30
"125",210,5419,"14:10:30","2015-01-22","Magbangon",3,2015-01-22 06:10:30,2015,1,22,6,10,30,"10.8614296373","124.7215099353",0,2015-01-22 06:10:30
"126",210,5418,"14:10:30","2015-01-22","Magbangon",3,2015-01-22 06:10:30,2015,1,22,6,10,30,"10.8614296373","124.7215099353",0,2015-01-22 06:10:30
"127",210,5408,"14:08:00","2015-01-22","Magbangon",3,2015-01-22 06:08:00,2015,1,22,6,8,0,"10.8614384383","124.7214878909",0,2015-01-22 06:08:00
"128",210,5407,"14:08:00","2015-01-22","Magbangon",3,2015-01-22 06:08:00,2015,1,22,6,8,0,"10.8614384383","124.7214878909",0,2015-01-22 06:08:00
"129",210,5406,"14:08:00","2015-01-22","Magbangon",3,2015-01-22 06:08:00,2015,1,22,6,8,0,"10.8614384383","124.7214878909",0,2015-01-22 06:08:00
"130",211,5405,"14:08:00","2015-01-22","Magbangon",4,2015-01-22 06:08:00,2015,1,22,6,8,0,"10.8613328263","124.7215464804",0,2015-01-22 06:08:00
"131",210,5395,"14:06:30","2015-01-22","Magbangon",3,2015-01-22 06:06:30,2015,1,22,6,6,30,"10.8614422940","124.7214789223",0,2015-01-22 06:06:30
"132",210,5394,"14:06:30","2015-01-22","Magbangon",3,2015-01-22 06:06:30,2015,1,22,6,6,30,"10.8614422940","124.7214789223",0,2015-01-22 06:06:30
"133",210,5393,"14:06:30","2015-01-22","Magbangon",3,2015-01-22 06:06:30,2015,1,22,6,6,30,"10.8614422940","124.7214789223",0,2015-01-22 06:06:30
"134",210,5375,"14:02:00","2015-01-22","Magbangon",3,2015-01-22 06:02:00,2015,1,22,6,2,0,"10.8614831138","124.7214198299",0,2015-01-22 06:02:00
"135",210,5356,"13:59:00","2015-01-22","Magbangon",3,2015-01-22 05:59:00,2015,1,22,5,59,0,"10.8615199104","124.7213894874",0,2015-01-22 05:59:00
"136",210,5355,"13:59:00","2015-01-22","Magbangon",3,2015-01-22 05:59:00,2015,1,22,5,59,0,"10.8615199104","124.7213894874",0,2015-01-22 05:59:00
"137",210,5354,"13:59:00","2015-01-22","Magbangon",3,2015-01-22 05:59:00,2015,1,22,5,59,0,"10.8615199104","124.7213894874",0,2015-01-22 05:59:00
"138",210,5322,"13:55:00","2015-01-22","Magbangon",3,2015-01-22 05:55:00,2015,1,22,5,55,0,"10.8615261130","124.7213780880",0,2015-01-22 05:55:00
"139",210,5321,"13:55:00","2015-01-22","Magbangon",3,2015-01-22 05:55:00,2015,1,22,5,55,0,"10.8615261130","124.7213780880",0,2015-01-22 05:55:00
"140",210,5320,"13:55:00","2015-01-22","Magbangon",3,2015-01-22 05:55:00,2015,1,22,5,55,0,"10.8615261130","124.7213780880",0,2015-01-22 05:55:00
"141",210,5319,"13:55:00","2015-01-22","Magbangon",3,2015-01-22 05:55:00,2015,1,22,5,55,0,"10.8615261130","124.7213780880",0,2015-01-22 05:55:00
"142",210,5318,"13:55:00","2015-01-22","Magbangon",3,2015-01-22 05:55:00,2015,1,22,5,55,0,"10.8615261130","124.7213780880",0,2015-01-22 05:55:00
"143",210,5289,"13:49:00","2015-01-22","Magbangon",3,2015-01-22 05:49:00,2015,1,22,5,49,0,"10.8615486603","124.7214519326",0,2015-01-22 05:49:00
"144",210,5288,"13:49:00","2015-01-22","Magbangon",3,2015-01-22 05:49:00,2015,1,22,5,49,0,"10.8615486603","124.7214519326",0,2015-01-22 05:49:00
"145",210,5259,"13:45:00","2015-01-22","Magbangon",3,2015-01-22 05:45:00,2015,1,22,5,45,0,"10.8615459781","124.7214459814",0,2015-01-22 05:45:00
"146",210,5258,"13:45:00","2015-01-22","Magbangon",3,2015-01-22 05:45:00,2015,1,22,5,45,0,"10.8615459781","124.7214459814",0,2015-01-22 05:45:00
"147",210,5239,"13:39:00","2015-01-22","Magbangon",3,2015-01-22 05:39:00,2015,1,22,5,39,0,"10.8615508396","124.7214179859",0,2015-01-22 05:39:00
"148",210,5238,"13:39:00","2015-01-22","Magbangon",3,2015-01-22 05:39:00,2015,1,22,5,39,0,"10.8615508396","124.7214179859",0,2015-01-22 05:39:00
"149",210,5237,"13:39:00","2015-01-22","Magbangon",3,2015-01-22 05:39:00,2015,1,22,5,39,0,"10.8615508396","124.7214179859",0,2015-01-22 05:39:00
"150",209,5226,"13:37:56","2015-01-22","Magbangon",2,2015-01-22 05:37:56,2015,1,22,5,37,56,"10.8614924178","124.7215002123",0,2015-01-22 05:37:56
"151",209,5225,"13:37:56","2015-01-22","Magbangon",2,2015-01-22 05:37:56,2015,1,22,5,37,56,"10.8614924178","124.7215002123",0,2015-01-22 05:37:56
